0;0;00
0;1;02
0;2;01
0;3;01
0;4;01
0;5;01
0;6;01
0;7;01
0;8;01
0;9;02
0;10;04
1;0;10
1;1;10
1;2;00
1;3;01
1;4;01
1;5;02
1;6;41
1;7;41
1;8;21
1;9;30
1;10;10
2;0;10
2;1;40
2;2;24
2;3;00
2;4;04
2;5;30
2;6;23
2;7;04
2;8;23
2;9;24
2;10;10
3;0;20
3;1;21
3;2;30
3;3;30
3;4;30
3;5;40
3;6;04
3;7;40
3;8;04
3;9;12
3;10;10
4;0;10
4;1;23
4;2;24
4;3;30
4;4;30
4;5;32
4;6;30
4;7;23
4;8;24
4;9;23
4;10;24
5;0;20
5;1;21
5;2;12
5;3;30
5;4;12
5;5;30
5;6;20
5;7;21
5;8;30
5;9;00
5;10;24
6;0;20
6;1;02
6;2;01
6;3;22
6;4;41
6;5;44
6;6;30
6;7;00
6;8;24
6;9;12
6;10;10
7;0;30
7;1;12
7;2;32
7;3;30
7;4;00
7;5;41
7;6;44
7;7;30
7;8;20
7;9;04
7;10;10
8;0;10
8;1;23
8;2;42
8;3;44
8;4;40
8;5;41
8;6;21
8;7;30
8;8;30
8;9;12
8;10;10
9;0;10
9;1;23
9;2;41
9;3;41
9;4;04
9;5;00
9;6;21
9;7;34
9;8;40
9;9;21
9;10;10
10;0;40
10;1;01
10;2;01
10;3;01
10;4;42
10;5;42
10;6;01
10;7;42
10;8;01
10;9;01
10;10;44
