0;0;00
0;1;02
0;2;02
0;3;01
0;4;01
0;5;01
0;6;01
0;7;01
0;8;02
0;9;01
0;10;04
1;0;10
1;1;12
1;2;10
1;3;23
1;4;41
1;5;21
1;6;00
1;7;04
1;8;34
1;9;32
1;10;10
2;0;20
2;1;21
2;2;20
2;3;21
2;4;32
2;5;00
2;6;44
2;7;34
2;8;34
2;9;30
2;10;10
3;0;10
3;1;23
3;2;22
3;3;43
3;4;24
3;5;30
3;6;32
3;7;34
3;8;34
3;9;30
3;10;10
4;0;20
4;1;04
4;2;34
4;3;32
4;4;34
4;5;34
4;6;34
4;7;34
4;8;34
4;9;30
4;10;10
5;0;10
5;1;12
5;2;34
5;3;30
5;4;12
5;5;30
5;6;40
5;7;44
5;8;34
5;9;30
5;10;10
6;0;10
6;1;00
6;2;44
6;3;30
6;4;23
6;5;22
6;6;21
6;7;23
6;8;44
6;9;30
6;10;10
7;0;10
7;1;40
7;2;04
7;3;30
7;4;32
7;5;20
7;6;21
7;7;32
7;8;32
7;9;30
7;10;10
8;0;20
8;1;21
8;2;40
8;3;44
8;4;12
8;5;30
8;6;23
8;7;42
8;8;22
8;9;24
8;10;10
9;0;10
9;1;32
9;2;00
9;3;21
9;4;23
9;5;24
9;6;23
9;7;01
9;8;24
9;9;12
9;10;10
10;0;40
10;1;42
10;2;42
10;3;01
10;4;01
10;5;42
10;6;01
10;7;01
10;8;42
10;9;01
10;10;44
